commodity,stock,lag_days,n_obs,expected_direction,pearson,pearson_stable,spearman,dcor,pearson_nifty50_neutral,pearson_nifty500_neutral,pearson_usdinr_component
gold,MUTHOOTFIN.NS,0,483,positive,0.202,True,0.167,0.198,0.165,0.155,-0.043
gold,MUTHOOTFIN.NS,1,482,positive,0.254,True,0.233,0.239,0.235,0.238,0.014
gold,MUTHOOTFIN.NS,2,481,positive,-0.048,False,-0.03,0.092,-0.041,-0.046,-0.032
gold,MUTHOOTFIN.NS,3,480,positive,0.015,False,0.025,0.102,0.026,0.049,0.031
gold,MUTHOOTFIN.NS,4,479,positive,0.028,False,-0.027,0.091,0.042,0.037,-0.064
gold,MUTHOOTFIN.NS,5,478,positive,0.051,False,0.067,0.111,0.04,0.043,0.058
gold,MUTHOOTFIN.NS,6,477,positive,-0.032,False,-0.053,0.096,-0.073,-0.076,-0.04
gold,MUTHOOTFIN.NS,7,476,positive,-0.13,True,-0.108,0.138,-0.102,-0.096,0.061
gold,MANAPPURAM.NS,0,483,positive,0.112,False,0.084,0.109,0.063,0.046,-0.049
gold,MANAPPURAM.NS,1,482,positive,0.073,False,0.08,0.101,0.042,0.041,-0.018
gold,MANAPPURAM.NS,2,481,positive,-0.034,False,0.009,0.073,-0.029,-0.039,0.014
gold,MANAPPURAM.NS,3,480,positive,-0.053,False,-0.043,0.108,-0.062,-0.037,-0.009
gold,MANAPPURAM.NS,4,479,positive,-0.028,False,-0.011,0.094,-0.017,-0.02,-0.02
gold,MANAPPURAM.NS,5,478,positive,0.036,False,0.034,0.077,0.018,0.021,0.05
gold,MANAPPURAM.NS,6,477,positive,-0.021,False,-0.021,0.09,-0.053,-0.072,-0.001
gold,MANAPPURAM.NS,7,476,positive,-0.072,True,-0.097,0.11,-0.054,-0.038,0.032
gold,TITAN.NS,0,483,negative,0.143,True,0.086,0.124,0.087,0.077,-0.096
gold,TITAN.NS,1,482,negative,0.048,False,0.064,0.091,-0.003,0.004,-0.001
gold,TITAN.NS,2,481,negative,0.076,True,0.087,0.123,0.109,0.096,-0.052
gold,TITAN.NS,3,480,negative,-0.01,False,0.008,0.081,-0.028,-0.021,0.025
gold,TITAN.NS,4,479,negative,0.037,False,0.016,0.105,0.052,0.045,0.01
