a,b,lag_days,corr,n_obs,half1_corr,half2_corr,stable_sign,expected_direction
gold,MUTHOOTFIN.NS,0,0.202,483,0.071,0.275,True,positive
gold,MUTHOOTFIN.NS,1,0.254,482,0.222,0.274,True,positive
gold,MUTHOOTFIN.NS,2,-0.048,481,0.01,-0.082,False,positive
gold,MUTHOOTFIN.NS,3,0.015,480,0.066,-0.015,False,positive
gold,MUTHOOTFIN.NS,4,0.028,479,0.027,0.028,False,positive
gold,MUTHOOTFIN.NS,5,0.051,478,0.104,0.023,False,positive
gold,MUTHOOTFIN.NS,6,-0.032,477,-0.007,-0.047,False,positive
gold,MUTHOOTFIN.NS,7,-0.13,476,-0.217,-0.086,True,positive
gold,MANAPPURAM.NS,0,0.112,483,0.018,0.189,False,positive
gold,MANAPPURAM.NS,1,0.073,482,0.026,0.115,False,positive
gold,MANAPPURAM.NS,2,-0.034,481,0.049,-0.097,False,positive
gold,MANAPPURAM.NS,3,-0.053,480,-0.077,-0.04,False,positive
gold,MANAPPURAM.NS,4,-0.028,479,0.043,-0.084,False,positive
gold,MANAPPURAM.NS,5,0.036,478,0.069,0.014,False,positive
gold,MANAPPURAM.NS,6,-0.021,477,0.009,-0.047,False,positive
gold,MANAPPURAM.NS,7,-0.072,476,-0.09,-0.065,True,positive
gold,TITAN.NS,0,0.143,483,0.071,0.192,True,negative
gold,TITAN.NS,1,0.048,482,0.068,0.04,False,negative
gold,TITAN.NS,2,0.076,481,0.07,0.085,True,negative
gold,TITAN.NS,3,-0.01,480,0.051,-0.044,False,negative
gold,TITAN.NS,4,0.037,479,-0.02,0.073,False,negative
gold,TITAN.NS,5,-0.036,478,-0.08,-0.01,False,negative
gold,TITAN.NS,6,-0.032,477,-0.019,-0.039,False,negative
gold,TITAN.NS,7,-0.074,476,-0.074,-0.074,True,negative
silver,HINDZINC.NS,0,0.363,483,0.198,0.454,True,positive
silver,HINDZINC.NS,1,0.266,482,0.315,0.267,True,positive
silver,HINDZINC.NS,2,-0.071,481,0.118,-0.153,False,positive
silver,HINDZINC.NS,3,0.114,480,0.065,0.141,True,positive
silver,HINDZINC.NS,4,-0.009,479,0.005,-0.016,False,positive
silver,HINDZINC.NS,5,0.004,478,-0.044,0.023,False,positive
silver,HINDZINC.NS,6,-0.017,477,0.017,-0.033,False,positive
silver,HINDZINC.NS,7,-0.051,476,-0.043,-0.059,False,positive
silver,VEDL.NS,0,0.148,483,0.253,0.129,True,positive
silver,VEDL.NS,1,0.153,482,0.286,0.13,True,positive
silver,VEDL.NS,2,0.025,481,0.172,-0.001,False,positive
silver,VEDL.NS,3,0.096,480,0.031,0.108,False,positive
silver,VEDL.NS,4,-0.013,479,-0.033,-0.01,False,positive
silver,VEDL.NS,5,0.019,478,-0.069,0.034,False,positive
silver,VEDL.NS,6,-0.016,477,0.055,-0.028,False,positive
silver,VEDL.NS,7,0.003,476,-0.057,0.014,False,positive
copper,HINDCOPPER.NS,0,0.27,483,0.279,0.274,True,positive
copper,HINDCOPPER.NS,1,0.182,482,0.149,0.224,True,positive
copper,HINDCOPPER.NS,2,-0.013,481,-0.016,-0.014,False,positive
copper,HINDCOPPER.NS,3,-0.005,480,-0.064,0.051,False,positive
copper,HINDCOPPER.NS,4,0.02,479,0.033,0.006,False,positive
copper,HINDCOPPER.NS,5,-0.013,478,-0.016,-0.012,False,positive
copper,HINDCOPPER.NS,6,-0.007,477,0.016,-0.034,False,positive
copper,HINDCOPPER.NS,7,-0.092,476,-0.122,-0.063,True,positive
copper,HINDALCO.NS,0,0.202,483,0.166,0.249,True,positive
copper,HINDALCO.NS,1,0.262,482,0.276,0.248,True,positive
copper,HINDALCO.NS,2,-0.001,481,-0.014,0.014,False,positive
copper,HINDALCO.NS,3,-0.003,480,-0.037,0.036,False,positive
copper,HINDALCO.NS,4,-0.057,479,-0.053,-0.066,True,positive
copper,HINDALCO.NS,5,0.02,478,0.013,0.027,False,positive
copper,HINDALCO.NS,6,0.036,477,0.031,0.043,False,positive
copper,HINDALCO.NS,7,-0.062,476,-0.102,-0.013,False,positive
copper,VEDL.NS,0,0.126,483,0.269,0.08,True,positive
copper,VEDL.NS,1,0.108,482,0.179,0.095,True,positive
copper,VEDL.NS,2,0.022,481,0.045,0.015,False,positive
copper,VEDL.NS,3,0.036,480,-0.025,0.077,False,positive
copper,VEDL.NS,4,0.015,479,0.013,0.019,False,positive
copper,VEDL.NS,5,-0.014,478,-0.029,-0.009,False,positive
copper,VEDL.NS,6,-0.019,477,0.074,-0.071,False,positive
copper,VEDL.NS,7,-0.03,476,-0.129,0.017,False,positive
gold,silver,0,0.764,503,0.623,0.818,True,n/a
gold,silver,1,-0.068,502,-0.025,-0.081,False,n/a
gold,silver,2,-0.028,501,-0.005,-0.034,False,n/a
gold,silver,3,0.003,500,-0.035,0.014,False,n/a
gold,silver,4,0.03,499,-0.067,0.057,False,n/a
gold,silver,5,-0.048,498,-0.044,-0.05,False,n/a
gold,silver,6,-0.062,497,-0.035,-0.07,False,n/a
gold,silver,7,-0.079,496,0.017,-0.107,False,n/a
